0,AYT,Ayit Aviation and Tourism,AYEET,Israel
0B,JOR,Blue Air,BLUE TRANSPORT,Romania
0D,DWT,Darwin Airline,DARWIN,Switzerland
0J,JCS,Jetclub,JETCLUB,Switzerland
0K,KRT,Air Kokshetau,KOKTA,Kazakhstan
1B,BGH,BH Air (Balkan Holidays),BALKAN HOLIDAYS,Bulgaria
1I,AMB,DRF Luftrettung,CIVIL AIR AMBULANCE,Germany
1I,EJA,NetJets,EXECJET,USA
1I,NJE,NetJets Europe,FRACTION,Portugal
1I,NVR,Novair,NAVIGATOR,Sweden
1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Nigeria
1W,WON,Wings Air,WINGS ABADI,Indonesia
2,CPB,Corporate Express,PENTA,Canada
2B,ARD,Aerocondor,AEROCONDOR,Portugal
2B,BAB,Bahrain Air,BAHRAIN AIR,Bahrain
2D,OST,Alania Airlines,ALANIA,Russia
2E,PHW,AVE.com,PHOENIX SHARJAH,United Arab Emirates
2F,FTA,Frontier Flying Service,FRONTIER-AIR,USA
2F,IRP,Payam Air,PAYAMAIR,Iran
2G,CRG,Cargoitalia,WHITE PELICAN,Italy
2I,SRU,Star PerÃº,STAR UP,Peru
2J,VBW,Air Burkina,BURKINA,Burkina Faso
2K,GLG,Aerolineas Galapagos (Aerogal),AEROGAL,Ecuador
2L,OAW,Helvetic Airways,HELVETIC,Switzerland
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
2N,NTJ,Nextjet,NEXTJET,Sweden
2N,UMK,Yuzmashavia,YUZMASH,Ukraine
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines
2Q,ETS,Avitrans,EXTRANS,Sweden
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,USA
2S,SDY,Island Express,SANDY ISLE,USA
2T,TUX,Tulpar Air Service,TULPA,Kazakhstan
2W,WLC,Welcome Air,WELCOMEAIR,Austria
2Z,CGN,Chang'an Airlines,CHANGAN,China - Peoples Republic
3A,CLU,Triple Alpha Luftfahrtgesellschaft,CAROLUS,Germany
3D,APG,Air People International,AIR PEOPLE,Thailand
3D,DNM,Denim Air,DENIM,Netherlands
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
3H,AIE,Air Inuit,AIR INUIT,Canada
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
3L,ISK,InterSky,INTERSKY,Austria
3M,GFT,Gulfstream International Airlines,GULF FLIGHT,USA
3N,URG,Air Urga,URGA,Ukraine
3P,TNM,Tiara Air,TIARA,Aruba (Netherlands)
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
3S,BOX,AeroLogic,GERMAN CARGO,Germany
3T,URN,Turan Air,TURAN,Azerbaijan
3U,CSC,Sichuan Airlines,SI CHUAN,China - Peoples Republic
3U,NCH,Chanchangi Airlines,CHANCHANGI,Nigeria
3V,TAY,TNT Airways,QUALITY,Belgium
3W,VNR,Wan Air,WAN AIR,French Polynesia
3X,JAC,Japan Air Commuter,COMMUTER,Japan
3Y,KAE,Kartika Airlines,KARTIKA,Indonesia
3Z,VTS,Everts Air Cargo,EVERTS,USA
4,ABV,Antrak Air,ANTRAK,Ghana
4A,AKL,Air Kiribati,,Kiribati
4A,EYE,FS Air Service,SOCKEYE,USA
4B,PAG,Perimeter Aviation (Perimeter Airlines),PERIMETER,Canada
4B,TUP,Aviastar-TU,TUPOLEVAIR,Russia
4C,ARE,"Aires, Aerovias de Integracion Regional, S.A.",AIRES,Colombia
4C,CGK,Click Airways,CLICK AIR,United Arab Emirates
4D,ASD,Air Sinai,AIR SINAI,Egypt
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia
4H,UBD,United Airways (Bangladesh),UNITED BANGLADESH,Bangladesh
4K,AAS,Askari Aviation,AL-AAS,Pakistan
4K,KBA,Kenn Borek Air,BOREK AIR,Canada
4M,DSM,LAN Argentina,LAN AIR,Argentina
4N,ANT,Air North,AIR NORTH,Canada
4O,AIJ,Interjet,INTERJET,Mexico
4P,ABB,Business Aviation,AFRICAN BUSINESS,"Congo, Democratic Republic of the"
4P,VIK,Viking Airlines,SWEDJET,Sweden
4Q,AEI,Air Italy Polska,POLISH BIRD,Poland
4R,HHI,Hamburg International,HAMBURG JET,Germany
4T,BHP,Belair Airlines,BELAIR,Switzerland
4U,GWI,Germanwings,GERMAN WINGS,Germany
4Y,BLE,Blue Line,BLUE BERRY,France
4Y,TUD,Flight Alaska,TUNDRA,USA
4Z,LNK,Airlink,LINK,South Africa
5A,AIP,Alpine Air Express,ALPINE AIR,USA
5B,EAK,Euro-Asia Air,EAKAZ,Kazakhstan
5C,ICL,CAL Cargo Air Lines,CAL,Israel
5C,NRR,Nature Air,NATUREAIR,Costa Rica
5D,SLI,AeromÃ©xico Connect,COSTERA,Mexico
5D,UDC,DonbassAero,DONBASS AERO,Ukraine
5E,SGN,SGA Airlines,SIAM,Thailand
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,USA
5G,SSV,Skyservice Airlines,SKYTOUR,Canada
5H,FFV,Fly540,SWIFT TANGO,Kenya
5J,CEB,Cebu Pacific,CEBU AIR,Philippines
5K,HFY,Hi Fly,SKY FLYER,Portugal
5K,ODS,Odessa Airlines,ODESSA AIR,Ukraine
5L,RSU,Aerosur,AEROSUR,Bolivia
5M,MUA,National Airlines,MURRAY AIR,USA
5N,AUL,Aeroflot-Nord,DVINA,Russia
5O,FPO,Europe Airpost,FRENCH POST,France
5Q,BEA,Best Air,BEST AIR,Bangladesh
5R,CTT,Custom Air Transport,CATT,USA
5R,KAJ,Karthago Airlines,KARTHAGO,Tunesia
5S,PSV,Servicios Aereos Profesionales,PROSERVICIOS,Dominican Republic
5T,MPE,Canadian North,EMPRESS,Canada
5T,TWE,Transwede Airways,TRANSWEDE,Sweden
5U,LDE,LADE - LÃ_neas AÃ©reas del Estado,LADE,Argentina
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine
5W,AEU,Astraeus,FLYSTAR,United Kingdom
5X,UPS,United Parcel Service,UPS,USA
5Y,GTI,Atlas Air,GIANT,USA
5Y,IOS,Isles of Scilly Skybus,SCILLONIA,United Kingdom
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh
6A,CHP,Aviacsa,AVIACSA,Mexico
6B,BLX,TUIfly Nordic,BLUESCAN,Sweden
6D,KDR,Royal Daisy Airlines,DARLINES,Uganda
6D,PAS,Pelita Air Service,PELITA,Indonesia
6E,IGO,IndiGo Airlines,IFLY,India
6F,FRJ,Afrijet Airlines,AFRIJET,Nigeria
6H,ISR,Israir Airlines,ISRAIR,Israel
6I,IBZ,International Business Air,INTERBIZ,Sweden
6J,JUB,Jubba Airways,JUBBA,Somalia
6J,SNJ,Skynet Asia Airways,NEWSKY,Japan
6K,RIT,Zest Airways,ASIAN SPIRIT,Philippines
6L,AKK,Aklak Air,AKLAK,Canada
6M,EUP,EuroAir,EUROSTAR,Greece
6N,KRE,AeroSucre,AEROSUCRE,Colombia
6N,NRD,Nordic Airways,NORTH RIDER,Sweden
6N,NRD,Nordic Regional,NORTH RIDER,Sweden
6O,ASJ,Air Satellite,SATELLITE,Canada
6P,IAD,Fly Wex,FLYWEX,Italy
6R,DRU,Alrosa Mirny Air Enterprise,MIRNY,Russia
6S,URJ,Star Air Aviation,STARAV,Pakistan
6T,LMT,Almaty Aviation,ALMATY,Kazakhstan
6V,AXY,Axis Airways,AXIS,France
6V,LCG,Lignes AÃ©riennes Congolaises,CONGOLAISE,"Congo, Democratic Republic of the"
6V,MRW,Mars RK,AVIAMARS,Ukraine
6W,SOV,Saravia,SARATOV AIR,Russia
6Y,LTC,SmartLynx Airlines,LATCHARTER,Latvia
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
7A,NXA,Air Next,BLUE-DOLPHIN,Japan
7C,COY,Coyne Aviation,COYNE AIR,United Kingdom
7C,JJA,Jeju Air,JEJU AIR,South Korea
7E,AWU,Sylt Air,SYLT-AIR,Germany
7F,FAB,First Air,FIRST AIR,Canada
7G,MKA,MK Airlines,KRUGER AIR,United Kingdom
7G,SFJ,Star Flyer,STARFLYER,Japan
7H,ERH,Era Aviation,ERAH,USA
7I,INC,Insel Air,INSELAIR,Netherlands Antilles
7J,TZK,Tajik Air,TAJIKISTAN,Tajikistan
7K,KGL,Kogalymavia,KOGALYM,Russia
7L,CRN,Aero Caribbean,AEROCARIBBEAN,Cuba
7L,ERO,Sun d'Or International Airlines,ECHO ROMEO,Israel
7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan
7P,BTV,Batavia Air,BATAVIA,Indonesia
7Q,TLR,Air Libya,AIR LIBYA,Libya
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland
7T,TOB,Tobruk Air,TOBRUK AIR,Libya
7U,ERG,Aviaenergo,AVIAENERGO,Russia
7V,PDF,Pelican Air Services,PELICAN AIRWAYS,South Africa
7W,WRC,Wind Rose Aviation,WIND ROSE,Ukraine
7Y,FCR,Flying Carpet,FLYING CARPET,Lebanon
7Y,NYL,Mid Airlines,NILE,Sudan
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco
8C,ATN,Air Transport International LLC,AIR TRANSPORT,USA
8C,CXI,Shanxi Airlines,SHANXI,China - Peoples Republic
8C,DXH,East Star Air,EAST STAR,China - Peoples Republic
8C,HZT,Air Horizon,HORIZON TOGO,Togo
8D,EXV,Expo Aviation,EXPOAVIA,Sri Lanka
8E,BRG,Bering Air,BERING AIR,USA
8G,NGE,Angel Airlines,ANGEL AIR,Thailand
8H,HWY,Highland Airways,HIWAY,United Kingdom
8I,MYW,MyAir,FRANKY,Italy
8J,JFU,Jet4you,ARGAN,Morocco
8L,CGP,Cargo Plus Aviation,CARGO PLUS,United Arab Emirates
8L,LKE,Lucky Air,LUCKY AIR,China - Peoples Republic
8L,RHC,Redhill Aviation,REDAIR,United Kingdom
8M,MXL,Maxair,MAXAIR,Sweden
8M,UBA,Myanmar Airways International,UNIONAIR,Myanmar (Burma)
8N,NKF,Barents AirLink,NORDFLIGHT,Sweden
8P,PCO,Pacific Coastal Airline,PASCO,Canada
8Q,OHY,Onur Air,ONUR AIR,Turkey
8R,TIB,TRIP Linhas Aereas,TRIP,Brazil
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya
8V,WRF,Wright Air Service,WRIGHT FLYER,USA
8W,PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany
8Y,CYZ,China Postal Airlines,CHINA POST,China - Peoples Republic
8Y,ECV,Ecuato Guineana,ECUATOGUINEA,Equatorial Guinea
8z,LER,LASER Airlines,LASER,Venezuela
9C,WDA,Wimbi Dira Airways,WIMBI DIRA,"Congo, Democratic Republic of the"
9D,THE,ToumaÃ¯ Air Tchad,TOUMAI AIR,Chad
9E,FLG,Pinnacle Airlines,FLAGSHIP,USA
9E,GXL,XL Airways Germany,STAR DUST,Germany
9H,DNL,Dutch Antilles Express,DUTCH ANTILLES,Netherlands Antilles
9K,KAP,Cape Air,CAIR,USA
9L,CJC,Colgan Air,COLGAN,USA
9M,GLR,Central Mountain Air,GLACIER,Canada
9N,AJV,ANA & JP Express,AYJAY CARGO,Japan
9N,NSE,SATENA,SATENA,Colombia
9Q,PBA,PB Air,PEEBEE AIR,Thailand
9R,VAP,Phuket Air,PHUKET AIR,Thailand
9S,CQH,Spring Airlines,AIR SPRING,China - Peoples Republic
9S,SOO,Southern Air,SOUTHERN AIR,USA
9T,ABS,Transwest Air,ATHABASKA,Canada
9T,RUN,ACT Airlines,CARGO TURK,Turkey
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
9V,ROI,Avior Airlines,AVIOR,Venezuela
9W,JAI,Jet Airways,JET AIRWAYS,India
9X,ACL,ItAli Airlines,ITALI,Italy
A0,AVI,L'Avion,ELYSAIR,France
A2,CIU,Cielos Airlines,CIELOS,Peru
A3,AEE,Aegean Airlines,AEGEAN,Greece
A5,RLA,Airlinair,AIRLINAIR,France
A6,LPV,Air Alps Aviation,AIR ALPS,Austria
A7,MPD,Air Comet,RED COMET,Spain
A8,AMF,Ameriflight,AMFLIGHT,USA
A8,BGL,Benin Golf Air,BENIN GOLF,Benin
A9,TGZ,Georgian Airways,TAMAZI,Georgia
AA,AAL,American Airlines,AMERICAN,USA
AB,BER,Air Berlin,AIR BERLIN,Germany
AC,ACA,Air Canada,AIR CANADA,Canada
AD,AZU,Azul Brazilian Airlines,AZUL,Brazil
AE,MDA,Mandarin Airlines,MANDARIN,"Taiwan, Republic of China"
AF,AFN,Air Freight NZ,AIR FREIGHT,New Zealand
AF,AFR,Air France,AIRFRANS,France
AG,ABR,Air Contractors,CONTRACT,Ireland
AH,DAH,Air Algerie,AIR ALGERIE,Algeria
AI,AIC,Air India,AIRINDIA,India
AJ,NIG,Aero Contractors,AEROLINE,Nigeria
AK,AXM,AirAsia,ASIAN EXPRESS,Malaysia
AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus
AM,AMX,AeroMexico,AEROMEXICO,Mexico
AP,ADH,Air One,HERON,Italy
AP,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
AR,ARG,Aerolineas Argentinas,ARGENTINA,Argentina
AS,ASA,Alaska Airlines,ALASKA,USA
AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco
AU,AUT,Austral Lineas Aereas,AUSTRAL,Argentina
AV,AVA,"Avianca - Aerovias Nacionales de Colombia, S.A.",AVIANCA,Colombia
AW,DIR,Dirgantara Air Service,DIRGANTARA,Indonesia
AW,SCH,CHC Airways,SCHREINER,Netherlands
AX,LOF,Trans States Airlines,WATERSKI,USA
AY,FIN,Finnair,FINNAIR,Finland
AZ,AZA,Alitalia,ALITALIA,Italy
B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus
B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria
B4,BCF,BACH Flugbetriebsgesellschaft mbH,BACH,Austria
B4,BKA,Bankair,BANKAIR,USA
B4,GSM,Flyglobespan,GLOBESPAN,United Kingdom
B6,JBU,JetBlue Airways,JETBLUE,USA
B7,UIA,Uni Air,GLORY,"Taiwan, Republic of China"
B8,BTR,Botir-Avia,BOTIR-AVIA,Kyrgyzstan
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea
B9,CBC,Caribair,CARIBAIR,Dominican Republic
B9,IRB,Iran Air Tours,,Iran
BA,BAW,British Airways,SPEEDBIRD,United Kingdom
BB,CBB,Cargo B Airlines,CARGO-BEE,Belgium
BB,SBS,Seaborne Airlines,SEABORNE,US Virgin Islands
BC,SKY,Skymark Airlines,SKYMARK,Japan
BD,BMR,BMI Regional,,United Kingdom
BE,BEE,Flybe,JERSEY,United Kingdom
BF,BBD,Bluebird Cargo,BLUE CARGO,Iceland
BF,RSR,Aero-Service,CONGOSERV,"Congo, Republic of"
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh
BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei Darussalam
BJ,LBT,Nouvelair,NOUVELAIR,Tunesia
BK,OKA,Okay Airways,OKAYJET,China - Peoples Republic
BL,PIC,Jetstar Pacific,PACIFIC AIRLINES,Vietnam
BP,BOT,Air Botswana,BOTSWANA,Botsuana
BR,EVA,EVA Air,EVA,"Taiwan, Republic of China"
BS,BIH,British International Helicopters,BRINTEL,United Kingdom
BT,BTI,Air Baltic,AIRBALTIC,Latvia
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy
BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad & Tobago
BY,TOM,Thomson Airways,TOMSON,United Kingdom
BZ,BDA,Blue Dart Aviation,BLUE DART,India
BZ,KEE,Keystone Air Services,KEYSTONE,Canada
C0,CLW,Centralwings,CENTRALWINGS,Poland
C3,KIS,Contact Air,CONTACTAIR,Germany
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
C5,UCA,CommutAir,COMMUTAIR,USA
C6,CJA,CanJet,CANJET,Canada
C7,RLE,Rico Linhas Aereas,RICO,Brazil
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany
CA,CAO,Air China Cargo,AIRCHINA FREIGHT,China - Peoples Republic
CA,CCA,Air China,AIR CHINA,China - Peoples Republic
CB,SAY,ScotAirways,SUCKLING,United Kingdom
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
CC,MCK,Macair Airlines,MACAIR,Australia
CD,LLR,Air India Regional,ALLIED,India
CF,SDR,City Airline,SWEDESTAR,Sweden
CG,TOK,Airlines PNG,BALUS,Papua New Guinea
CH,BMJ,Bemidji Airlines,BEMIDJI,USA
CI,CAL,China Airlines,DYNASTY,"Taiwan, Republic of China"
CJ,CFE,BA CityFlyer,FLYER,United Kingdom
CK,CKK,China Cargo Airlines,CARGO KING,China - Peoples Republic
CL,CLH,Lufthansa CityLine,HANSALINE,Germany
CM,CMP,Copa Airlines,COPA,Panama
CO,COA,Continental Airlines,CONTINENTAL,USA
CP,CPZ,Compass Airlines,COMPASS ROSE,USA
CQ,EXL,Sunshine Express Airlines,SEA,Australia
CS,CMI,Continental Micronesia,AIR MIKE,Guam (USA)
CU,CUB,Cubana de Aviacion,CUBANA,Cuba
CV,CLX,Cargolux,CARGOLUX,Luxembourg
CV,CVA,Air Chathams,CHATHAM,New Zealand
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
CX,CPA,Cathay Pacific,CATHAY,China - Peoples Republic
CY,CYP,Cyprus Airways,CYPRUS,Cyprus
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China - Peoples Republic
D0,DHK,DHL Air UK,EUROTRANS,United Kingdom
D3,DAO,Daallo Airlines,DAALLO AIRLINES,United Arab Emirates
D4,LID,Alidaunia,ALIDA,Italy
D5,DAE,DHL Aero Expreso,YELLOW,Panama
D6,ILN,Interair South Africa,INLINE,South Africa
D7,XAX,AirAsia X,XANADU,Malaysia
D8,DJB,Djibouti Airlines,DJIBOUTI AIR,Djibouti
D9,DNV,Aeroflot-Don,DONAVIA,Russia
DA,SDA,Sol Dominicana Airlines,SOL AIRLINES,Dominican Republic
DB,BZH,Brit Air,BRITAIR,France
DC,GAO,Golden Air,GOLDEN,Sweden
DD,NOK,Nok Air,NOK AIR,Thailand
DE,CFG,Condor Flugdienst,CONDOR,Germany
DG,SRQ,South East Asian Airlines,SEAIR,Philippines
DJ,PBN,Pacific Blue Airlines,BLUEBIRD,New Zealand
DJ,VOZ,Virgin Blue,VIRGIN,Australia
DK,VKG,Thomas Cook Airlines Scandinavia,VIKING,Denmark
DL,DAL,Delta Air Lines,DELTA,USA
DN,DKN,Kingfisher Red,DECCAN,India
DO,RVL,Air VallÃ©e,AIR VALLEE,Italy
DR,BIE,Air Mediterranee,MEDITERRANEE,France
DT,DTA,TAAG Angola Airlines (Linhas AÃ©reas de Angola),DTA,Angola
DU,HMS,Hemus Air,HEMUS AIR,Bulgaria
DV,ACK,Nantucket Airlines,ACK AIR,USA
DV,LTF,Lufttaxi Fluggesellschaft,GARFIELD,Germany
DV,VSV,Scat Aircompany,VLASTA,Kazakhstan
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
DX,DTR,DAT Danish Air Transport,DANISH,Denmark
DY,NAX,Norwegian Air Shuttle,NOR SHUTTLE,Norway
DZ,LMZ,Starline.kz,ALUNK,Kazakhstan
